id,String,topic,type
266,Jonathan has built some design in the live streaming platform to reduce possible health hazards due to the prolonged use of the system. Describe two designs to achieve this.,Health and Ethical Issues,LQ
267,The computer room is equipped with a file server where teachers upload teaching materials and examination paper. Suggest two methods to prevent unauthorised access of these files.,Threats and Security on the Internet,LQ
268,"Because the computer room has many expensive devices, the computer room is locked with a smart card system. Give two advantages of accessing the room with a smart card over using a key.",Threats and Security on the Internet,LQ
269,Describe two things to consider when setting up the light system and curtains in the computer room with reference to concepts of ergonomics.,Health and Ethical Issues,LQ
270,"Apart from ergonomic mouses and ergonomic keyboards, give two ergonomic equipment to be used in the computer room.",Health and Ethical Issues,LQ
271,What types of licence should the school obtain if they buy standalone software?,Intellectual Property,LQ
272,Give two advantages of subscribing to a cloud service instead of buying standalone software.,Intellectual Property,LQ
273,Give two advantages of buying standalone software instead of subscribing to a cloud service.,Intellectual Property,LQ
274,The school does not want to develop the required software by themselves. Why not? Give two reasons to support your answer.,Intellectual Property,LQ
275,Which of the following activities involve(s) the conversion of analog to digital data or vice versa?,Multimedia Elements,MC
276,A computer system uses the Hong Kong identity card (HKID) number as a key field for managing accounts. Its check digit is used to detect input errors made by users. Which of the following input errors can usually be found by the check digit?,Data Organisation and Data Control,MC
277,Increment the following numbers using 8-bit two's complement representation by 1. Which one will create an overflow error?,Number System,MC
278,"In a computer system, 10 bits are reserved for user identity codes and 54 bits are reserved for alias names. What is the maximum number of user accounts in the system?",Number System,MC
279,Mr Lee wants to set up a cleaning service company to serve thousands of clients. He needs to process data about the service and create a monthly report for each client. Which software should he buy?,Data Manipulation and Analysis,MC
280,"In the following spreadsheet, the formula, `=SUM (Al : C3 ) ', is entered in El. What value is displayed in F2 after the formula in El is copied into F2?",Spreadsheet,MC
281,Mr Wong wants to create a chart to display the following nutritional data. Which type(s) of chart(s) is/are appropriate?,Spreadsheet,MC
282,Only one record is retrieved after executing the following SQL command. Why?,Database,MC
283,Which formatting features of a word processor has she used?,Word Presentation,MC
284,John uses his notebook computer to create a web-based presentation through a web site. He does not use the pre-installed presentation software to do so. Why?,"Elementary Web Authoring, Data Manipulation and Analysis",MC
285,"When creating a database table, what should be defined?",Database,MC
286,Which of the following is/are the best practice when using online banking systems?,Threats and Security on the Internet,MC
287,"In 2012, the US Government launched a project to explore how 'big data' could be used. 'Big data' refers to the huge amount of data collected which is difficult to process using database management systems. Which of the following are examples of 'big data'?",Introduction to Information Processing,MC
288,The following QR code is printed on an advertisement so that readers can scan the code and browse product information online through smart phones. What information is encoded in the QR code?,Multimedia Elements,MC
289,"A WAV file, which is a common audio file, consists of a header. Which of the following items is stored in the header?",Multimedia Elements,MC
290,Mary converts the file animal.bmp to animal.jpg. Why?,Multimedia Elements,MC
291,A quad-core processor is generally better than a dual-core processor because,System Unit of a Computer System,MC
292,Mary connects a new USB flash drive to a computer. She does not need to install a driver program for the flash drive. Why not?,System Software,MC
293,A TV unit has the following three ports. High Definition (HD) videos will be output to the TV unit. Which of the following ports should be used?,System Unit of a Computer System,MC
294,A car is equipped with a global positioning system (GPS) such that the driver can get the location and time information when driving. Which of the following best describes the mode of operation of the system?,Computer System,MC
295,Which of the following classifications is correct?,"System Software, Input and Output Devices",MC
296,"Joseph installs network-attached storage (NAS) in the office network that operates as a file server. If he installs more cache memory in the NAS, which of the following can be greatly improved?","Secondary Storage Devices, System Unit of a Computer System",MC
297,"When browsing a web page, which of the following will be involved?",Networking and Internet Basics,MC
298,"In an email application, the settings of  X  and  Y  are used for receiving email and sending email respectively.",Internet Services and Applications,MC
299,Mary has a wireless network with Internet access at home. She finds that the file transfer rate between a notebook computer and a desktop computer through the network is very low. What is the possible reason for this?,Networking and Internet Basics,MC
300,"A proxy server in a school network can 	",Networking and Internet Basics,MC
301,What is/are the advantage(s) of using tablet computers in e-learning?,Internet Services and Applications,MC
302,Peter can use the following two methods to download files. He chooses Method 1. Why? Method 1 : Direct download through HTTP; Method 2: Download using (P2P) file sharing technology,Threats and Security on the Internet,MC
303,"When constructing tables in a web page, which of the following attributes of the tables can be set?",Elementary Web Authoring,MC
304,The sales department of an insurance company wants to improve service to its clients. It asks the IT project manager to establish some web pages for the clients. What should the IT project manager do first?,Introduction to Information Processing,MC
305,Part of a flowchart is shown below. The algorithm requests the user to repeatedly enter a number until a positive number is entered. What should be filled in the decision box?,Algorithm Design,MC
306,What is the output of the following algorithm?,Program Development,MC
307,What is the output of the following algorithm?,Program Development,MC
308,Which of the following public policies can improve the digital divide in Hong Kong?,Health and Ethical Issues,MC
309,"Mary is a teenager and makes a new friend, Ada, through a random search function in a social networking web site. Ada wants to meet Mary the following Monday night at 10 p.m. in a restaurant. Mary's eldest brother advises her not to meet Ada. What is the major reason?",Health and Ethical Issues,MC
310,John does not download patches to upgrade the operating system of his computer. Which of the following statements best describes the possible consequences?,System Software,MC
311,Which of the following can help visually impaired persons to browse the web?,Health and Ethical Issues,MC
312,Which of the following statements about copyright protection in Hong Kong is correct?,Intellectual Property,MC
313,Which of the following actions for desktop computers is/are environmentally-friendly?,Health and Ethical Issues,MC
314,"In an office network, a technician installs a firewall instead of antivirus software. What is the major reason for this?",Threats and Security on the Internet,MC
315,"In Area P,waiters wiII input some numerical data. Give two exampIes of these data.","Database, Introduction to Information Processing",LQ
316,Ada should apply some appropriate validation checks to the input data. Describe two examples of the validation checks.,Data Organisation and Data Control,LQ
317,"In Area Q, waiters will receive some output data. Give two examples of these data.","Program Development, Introduction to Information Processing",LQ
318,Ada is going to take photos of the lunch sets for the POS system. Give two attributes of the image files that affect the quality of these photos.,Multimedia Elements,LQ
319,"In the POS system, the daily transactions are stored in a spreadsheet file. Ada can use spreadsheet software to generate daily summary reports for the management. Suggest a spreadsheet function that Ada may use in the reports. Describe briefly.",Spreadsheet,LQ
320,"In the POS system, the daily transactions are stored in a spreadsheet file. Ada can use spreadsheet software to generate daily summary reports for the management. Ada chooses to use database software instead. Give two benefits of her choice.","Spreadsheet, Database",LQ
321,"Other than email, suggest three types of computer applications Ms Wong can use to transfer files.",Computer System,LQ
322,"In an international airport, Ms Wong can directly connect to the free Wi-Fi network. Ms Wong finds that the speed of the Internet connection is slow although the network signal is strong. Why?",Networking and Internet Basics,LQ
323,"When Ms Wong visits the branch office in Singapore, she needs to install a client program to connect to the Wi-Fi network in the office. Give two benefits of using this client program for this purpose.",Networking and Internet Basics,LQ
324,"Ms Wong goes on a business trip to Vietnam. She needs to bring her notebook computer, tablet computer and smart phone to connect to the Internet through a data port on the wall of her hotel room. State the hardware she should have and describe the network connection briefly.",Networking and Internet Basics,LQ
325,"To construct the web page, David uses a text editor to write HTML code instead of using a web authoring tool. Give one benefit of each tool. Text editor:",Elementary Web Authoring,LQ
326,"To construct the web page, David uses a text editor to write HTML code instead of using a web authoring tool. Give one benefit of each tool. Web authoring tool:",Elementary Web Authoring,LQ
327,What is the benefit of having the PKI?,Threats and Security on the Internet,LQ
328,Briefly describe a way that PKI is used to complete the file transfer.,Threats and Security on the Internet,LQ
329,Write down the output values of ALG1.,Program Development,LQ
330,Write down the output values of ALG2.,Program Development,LQ
331,"If the output values of ALG2 need to be the same as those of ALG1, what should the initial value of Q be changed to?","Algorithm Design, Program Development",LQ
332,"George further develops the algorithms to build an Internet application. If the application is a parallel processing system, how does the application work?",Computer System,LQ
333,"If the application is a distributed processing system, how does the application work?",Computer System,LQ
334,George can use either freeware or open source software to develop the application. What is the major common characteristic of the two types of the software?,Intellectual Property,LQ
335,George can use either freeware or open source software to develop the application. What is the major difference in terms of the resources that the software provides?,Intellectual Property,LQ
336,Why do some people promote open source software instead of freeware?,Intellectual Property,LQ
337,Mr Chan does not use Hong Kong identity card numbers as LOGINID.  Why not? Explain briefly.,Database,LQ
338,Mr Chan uses email addresses as LOGINID. Why? Explain briefly.,Database,LQ
339,Mr Chan should not use CLASS and CLASSNO as a composite key field to identify records. Why not? Explain briefly.,Database,LQ
340,Mr Chan executes the following SQL command. What is the output?,Database,LQ
341,"Of the passwords in the four records, which one is the most secure?",Threats and Security on the Internet,LQ
342,Suggest two principles for designing a good password.,Threats and Security on the Internet,LQ
343,Mr Chan exports data from some fields in STUDENT into a spreadsheet file. Unauthorised persons might be able to access the file. How can Mr Chan protect the data? Give two methods.,Threats and Security on the Internet,LQ
344,"Mr Chan wants to add an extra field CNAME to STUDENT to store students' Chinese names. Which code, Unicode, GB code or Big-5 code, should he use? Justify your answer.",Data Organisation and Data Control,LQ
345,Mr Chan uses a word processor to print some letters to be sent to students to inform them about their login information and asking them to activate their accounts. Suggest an efficient way for him to do this.,Word Presentation,LQ
346,The e-learning activities includes an element of interaction. Describe two examples of the activities.,Internet Services and Applications,LQ
347,Mr Li orders some desktop computers so that students to forget to bring their smartphones can still participate in the e-learning activities. Give two advantages of desktop computers over smart phones.,Computer System,LQ
348,The reports can be in either text format or PDF format. Give two advantages of using text format over PDF format.,Word Presentation,LQ
349,Mr Li can ask students to submit the reports through either email or a school network drive. Give one advantage of each method. Email:,Internet Services and Applications,LQ
350,Mr Li can ask students to submit the reports through either email or a school network drive. Give one advantage of each method. School network drive:,Internet Services and Applications,LQ
351,"A computer receives the three data sequences, shown below. Each sequence includes a parity bit. Two of the sequences are found to be corrupted during transmission. Which of the following best describes the situation?",Data Organisation and Data Control,MC
352,"A supermarket uses a database table FRUIT, which stores fruit name FNAME and the corresponding quantity in stock QTY. Which of the following best describes the result of the query below?",Database,MC
353,What are the advantages of using the following calendar box over a text box for entering a date?,Data Organisation and Data Control,MC
354,Which of the following additions of 4-bit numbers using two's complement representation will result in an overflow error?,Number System,MC
355,How many bits are required to represent an image of 8 X 8 black-and-white pixels?,Multimedia Elements,MC
356,"Which of the following is correct? (information process, data collection, data preparation, data organisation)",Introduction to Information Processing,MC
357,"For a photo, the file size of its BMP image is larger than that of its JPG image because",Multimedia Elements,MC
358,Which of the following about mail merge are correct?,Word Presentation,MC
359,Which of the following about a presentation of several slides supplemented with verbal annotation in presentation software is correct?,Data Manipulation and Analysis,MC
360,"In the following spreadsheet, a formula is entered in B6 based on B2 : B4 to calculate the class fee. Classmates want to limit the class fee to $1,000 by cutting the budget for the study tour. When using the 'goal seek' function for `what-if analysis, which of the following sets of data should be used?",Spreadsheet,MC
361,Why should characters be represented by character sets such as ASCII in computers?,Data Organisation and Data Control,MC
362,Why is information literacy important in a knowledge-based society?,Introduction to Information Processing,MC
363,"When developing a management information system, which of the following should be the first item to be 
considered?",Program Development,MC
364,Which of the following is/are the common specification(s) of a home use printer?,"Multimedia Elements, Input and Output Devices",MC
365,"A standalone computer runs slow when working on database software. Which of the following hardware 
components should be upgraded?",System Unit of a Computer System,MC
366,Why would a fast food shop install a thermal printer instead of a laser printer to print receipts at the cashier?,Input and Output Devices,MC
367,"One day, Mary finds that she cannot access the Internet through her computer at home. Which of the following is a possible cause?","System Unit of a Computer System, Networking and Internet Basics",MC
368,Why do we need to regularly update software?,Threats and Security on the Internet,MC
369,"A company develops a computer system for autopilot driving, so that a vehicle can collect and use image data from the environment and drive on the road safely. It is a real-time processing system because",Computer System,MC
370,"There are one hundred 300GB surveillance video files. Without any file reorganisation and compression, how many 2TB hard disks are needed to store all the video files?",Secondary Storage Devices,MC
371,"In a typical situation, what are P, Q and R? (User, Computer)",System Unit of a Computer System,MC
372,"Which of the following describe(s) the URL, https://www. abc. edu.hk/en/?",Networking and Internet Basics,MC
373,Which of the following are the potential benefits of e-learning?,Internet Services and Applications,MC
374,Which of the following should be considered when designing web pages?,Elementary Web Authoring,MC
375,Fibre optics is used in a computer network because,Networking and Internet Basics,MC
376,Internet Protocol (IP) is used in a computer network because,Networking and Internet Basics,MC
377,Amy uses a computer to watch streaming videos. Which of the following should she consider?,"Networking and Internet Basics, Secondary Storage Devices",MC
378,What is the missing part in Algorithm 2?,"Algorithm Design, Program Development",MC
379,What input value for the algorithm below will not output `Complete ! ?,"Algorithm Design, Program Development",MC
380,Answer Questions 30 and 31 with reference to the following algorithm. What is the purpose of the algorithm?,Program Development,MC
381,Answer Questions 30 and 31 with reference to the following algorithm. What is the use of the value '888'?,Algorithm Design,MC
382,What is the importance of a problem definition in problem-solving?,Program Development,MC
383,Which of the following is/are the advantage(s) of modularity in programming?,Program Development,MC
384,Why should appropriate test data be prepared?,Program Development,MC
385,Peter just finds that he cannot open some important files in a computer in his office due to a ransomware attack. What should he do immediately?,Threats and Security on the Internet,MC
386,"A shopping mall plans to develop a mobile application for customers to register their shopping records and
gain bonus points for gifts. Which of the following considerations should be the least important?","Secondary Storage Devices, System Unit of a Computer System",MC
387,John plays Internet games and uses social media all the time. Which of the following are likely the consequences of such indulgence in Internet activities?,Health and Ethical Issues,MC
388,Which of the following are appropriate when using a social media application?,Health and Ethical Issues,MC
389,"Peter installs a software package on his computer. He also installs it on another computer. He does not
infringe copyright because",Intellectual Property,MC
390,Which of the following about the use of robots are correct?,Health and Ethical Issues,MC
391,Peter decides to buy a computer with a quad-core CPU instead of a dual-core CPU. Why does Peter make this decision?,System Unit of a Computer System,LQ
392,Suggest another CPU technical specification that he might consider.,System Unit of a Computer System,LQ
393,"Peter will use his computer to edit and render videos. Give two hardware components that he should consider, other than the CPU. Explain briefly.",System Unit of a Computer System,LQ
394,"Peter buys a new computer with a pre-installed operating system. List two common functions of the operating system, other than file management.",System Software,LQ
395,He uses free cloud storage for storing video files. Give an advantage and a disadvantage of using the cloud storage over a portable hard disk.,Secondary Storage Devices,LQ
396,Peter considers installing open source software and freeware. State two differences between them.,Intellectual Property,LQ
397,Give a term of service regarding privacy. Describe the potential risk of accepting this term that Peter might encounter.,Intellectual Property,LQ
398,"In Sheet2, the final score	FS	is the average of the highest two scores from the three scores in 
columns D to F. A formula in G2 is copied to G3 : G8. Write down the formula in G2.",Spreadsheet,LQ
399,"In Sheet2, a formula =vlookup (A2, Sheetl!A2 :B5, 2, false) is entered in B2 and then
copied to B3 :B8. It is found that not the names of all houses are correctly shown. Write down the 
correct formula in B2.",Spreadsheet,LQ
400,Complete the following parts to create the pivot chart.,Spreadsheet,LQ
401,"The pivot chart can be inserted into a document using two methods, linking and embedding. Give an advantage of each method.",Data Manipulation and Analysis,LQ
402,Sheet2 is converted to a database table TB2. Suggest a primary key for TB 2 :,Database,LQ
403,"Based on the given data in Sheet2, what is the output after executing the following SQL statement? ",Database,LQ
404,Would you suggest using a spreadsheet or database to process the data of the singing contest? Explain briefly.,"Spreadsheet, Database",LQ
405,"A school designs the following computer network. P and Q are common network connecting devices. A
computer X connects to P. Some tablets connect to Q. What are P and Q?",Networking and Internet Basics,LQ
406,What is the main function of the router in the network?,Networking and Internet Basics,LQ
407,Computer X sends a file to a computer Z. Complete the following steps to describe how data is transmitted.,Networking and Internet Basics,LQ
408,Is it a must to install a DNS in the school in order that the web server can be accessed by the public? Explain briefly.,Networking and Internet Basics,LQ
409,Give two reasons why a firewall is enabled in X.,Threats and Security on the Internet,LQ
410,"The school plans to set up an e-payment system. Other than security tokens, suggest two methods of
making secure electronic transactions.",Threats and Security on the Internet,LQ
411,"John develops an Artificial Intelligence (A1) chatbot application to chat with online users and answer ICT
questions. A dialogue between the chatbot and an online user is shown in the following example:  . According to the dialogue, suggest an answer for the chatbot to reply.",Program Development,LQ
412,Suggest an improvement to the application for visually impaired people.,Health and Ethical Issues,LQ
413,Give two ways in which chatbots can influence society.,Health and Ethical Issues,LQ
414,"Users should set a password of at least 8 characters that must include an uppercase letter, a lowercase letter, a digit and a symbol, Give two good practices for users when setting a password, other than having a long password.",Threats and Security on the Internet,LQ
415,How can Captcha enhance the security of the login page?,Threats and Security on the Internet,LQ
416,"John considers encoding symbols into bit patterns in the application, The following table shows the bit patterns of symbols using two different methods. Encode  using Method I:",Number System,LQ
417,"John considers encoding symbols into bit patterns in the application, The following table shows the bit patterns of symbols using two different methods. Decode '001011' using Method 2:",Number System,LQ
418,Find the number of bits required for encoding the symbols in each row below.,Number System,LQ
419,"John considers encoding symbols into bit patterns in the application, The following table shows the bit patterns of symbols using two different methods. Under what scenario will Method 2 be better than Method I ?",Number System,LQ
420,"Mary designs a subprogram with an array A. She considers algorithms ALGI, ALG2 and ALG3. Suppose that N = 6. Execute ALGI with the following initial content of A:. Write down the final values of B and Ch.",Program Development,LQ
421,Suppose that N = 6. Execute ALGI with the following initial content of A:. How many times will Line 3 be executed?,"Algorithm Design, Program Development",LQ
422,Suppose that N = 6. Execute ALG2 with the following initial content of A:. How many times will Line 4 be executed?,"Algorithm Design, Program Development",LQ
423,ALG2 can be more efficient than ALGI. Why?,Algorithm Design,LQ
424,Complete the following initial content of A such that the number of executions of the statement 'if A[i] = 1 then' in both ALGI and ALG2 would be the same.,"Algorithm Design, Program Development",LQ
425,ALGI and ALG3 below should always produce the same result. Complete Line 3 below.,"Algorithm Design, Program Development",LQ
426,"The value of N is very large. Which algorithm, ALGI or ALG3, is more efficient? Explain briefly.","Algorithm Design, Program Development",LQ
427,A school provides an online system for students to search for books in the library. What information should students input in the system?,Introduction to Information Processing,MC
428,People can order food by using the kisok in the fast food restaurant. What information should people enter in ordfer to order the food?,Introduction to Information Processing,MC
429,"A computer executes Mary's subprogram. State two components in the CPU that are involved in the fetch-decode-execute cycle, other than IR (instruction register).",Networking and Internet Basics,LQ
430,A bus company provides an online service for passengers to find bus routes. What information should passengers input?,Introduction to Information Processing,MC
431,"In data processing, a clerk in a school types in the examination marks of students from a mark sheet into a computer system. he prints out the marks. What should he do next?",Introduction to Information Processing,MC
432,"Fiona creates a web page to show a photo of her child. In a web browser, the photo cannot be displayed, as shown below. What is the possible mistake she has made?",Introduction to HTML,MC
433,Which of the following are characteristics of the Information Age?,Introduction to Information Processing,MC
434,The following figure illustrates the components of an information system.Which of the following matches is not correct ?,Introduction to Information Processing,MC
435,When placing a table in a web which of the following is not a table setting?,Introduction to HTML,MC
436,A simple web page is shown below. Which ofthe following is the HTML code of the web page?,Introduction to HTML,MC
437,"Betty buys a voice recognition dictionary mobile application to meanings of words. When she installs application in her mobile device, it shows the following request. Which of the following settings should Betty allow?",Input and Output Devices,MC
438,Study the following web page:. Which of the following improve of navigation?,Introduction to HTML,MC
439,"In HTML, which of the following are the attributes of a table (TABLE)?",Introduction to HTML,MC
440,A bus company provides an online service for passengers to find bus routes. What information should passengers input?,Introduction to Information Processing,MC
441,What changes have been brought about by the emergence of the Information Age?,Introduction to Information Processing,MC
442,Which of the following processes is an example of data collection?,Introduction to Information Processing,MC
443,Which of the following is not appropriate for enhancing students' information literacy?,Introduction to Information Processing,MC
444,The basic concept of the 'Input Process-Output' cycle is illustrated in the following chart. What are X and Y?,Introduction to Information Processing,MC
445,Which of the following statements about a check digit for a data item is correct?,Data Organisation and Data Control,MC
446,"In a data transmission system, a parity check is applied. One of the following received codes is invalid. Which one is it?",Data Organisation and Data Control,MC
447,"An 8-bit code 10010011 is received without an error. The last bit is a parity bit. Using the same parity check, which of the following received codes has an error?",Data Organisation and Data Control,MC
448,"During data input, which of the following can minimise input errors?",Data Organisation and Data Control,MC
449,A code consists of 6 digits where the digit on the far right is a check digit. The check digit method used for the code is that the sum of all 6 digits is divisible by 10. Which of the following codes is valid?,Data Organisation and Data Control,MC
450,"When creating an online email account, the following step needs to be completed. What is the purpose of re-entering the password?",Data Organisation and Data Control,MC
451,"When changing the password of a school Intranet account, which of the following is an example of data verification?",Data Organisation and Data Control,MC
452,A device is sending 8-bit data in a network where the last bit is a parity bit. One of the following received data has an error. Which one is it?,Data Organisation and Data Control,MC
453,Study the following online registration form. Which of the following is/are involved in the online registration?,Data Organisation and Data Control,MC
454,"An IP address (IPv6) consists of 8 groups of 4-digit hexadecimal numbers separated by colons, as shown in following example:2001:08AB:2347:AFF0: 1234:CC23:98D2:1A45. How many possible IPv6 addresses are there?",Data Organisation and Data Control,MC
455,"A Hong Kong identity card number is wrongly entered into a computer system, as shown below. Which of the following can help detect this error?",Data Organisation and Data Control,MC
456,What is the purpose of asking a user to enter a password twice in an online system?,Data Organisation and Data Control,MC
457,A machine adopts two's complement for the representation of 4-bit integer. Which of the following calculations is more likely to have an overflow error?,Number System,MC
458,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110_2?,Number System,MC
459,A combination lock consists of 5 separate switches. Each switch can be set to either the 'ON' or 'OFF' state. The lock can only be unlocked when all 5 switches are set to the correct switch states. How many different combinations of switch states does this lock have?,Number System,MC
460,"With 8-bit two's complement representation, which of the following operations can produce an overflow error?",Number System,MC
461,Arrange the following 4-bit numbers using two's complement representation in ascending order.,Number System,MC
462,"10,000 runners participate in a marathon competition. Each runner has a unique identity code stored in a RFID (radio frequency identification) tag on one or his or her shoes. What is the minimum storage size required in each tag?",Number System,MC
463,"A university assigns a student number, YYYYNNNG, to every new student where YYYY is the year of admission (e.g. 2015), NNN is a 3-digit number ranging from 000 to 999, and G is the area of study (1 stands for science and 2 stands for non-science). According to the scheme, how many student numbers can the university assign in the year 2015?",Number System,MC
464,"In a device, 8 bits and 16 bits are used to store a character and an integer respectively. How many bytes are required to store the string 'HKDSES""?",Number System,MC
465,"Consider the following values, P, Q and R. P = 10001000_2, Q = 10001000_10, R = 10001000_16. Which of the following is correct?",Number System,MC
466,1111 1111 is an 8-bit number using two's complement representation. What is its decimal value?,Number System,MC
467,A black-and-white display board uses 8X8 pixels to illustrate a pattern. The upper left 4 pixels must be black at any time. How many different patterns can the display board illustrate?,Number System,MC
468,The following calculations involve 8-bit numbers using two's complement representation. Which one will generate an overflow error?,Number System,MC
469,"A company designs a mobile application to process staff records. In each record, 10 bits are used to store staff numbers and 12 bytes are used to store Chinese names. How many staff records can the mobile application support?",Number System,MC
470,Which of the following is the 8-bit two's complement representation of the decimal value -8?,Number System,MC
471,"A company has 30,000 employees. Each employee has a staff number. What is the minimum number of bits required to represent the staff members?",Number System,MC
472,"Radio frequency identification (RFID) readers are installed in the door of an office. Amy has an ID badge containing an RFID tag with a 2 KB storage capacity. Her personal information occupies 200 bytes. Every time she enters or leaves the office, a record of 40 bytes is created and stored on her badge. How many records can the badge store?",Number System,MC
473,Which of the following additions of numbers in 8-bit two's complement representation will result in an overflow error?,Number System,MC
474,Which of the following statements about character representation is/are correct?,Number System,MC
475,"What is the order of sizes of the three character sets, ASCII, Big-5 code and Unicode?",Number System,MC
476,Which of the following is/are the advantage(s) of using Unicode over Big-5 code?,Number System,MC
477,"Three plaintext files contain some characters, as shown below. Assume that Unicode (UTF-8) is adopted. Which of the following comparative statements about the file sizes is correct?",Number System,MC
478,Which of the following character encoding methods can be used to represent Korean text?,Number System,MC
479,"A text file contains a character string ??*IT*???. Peter uses a program to view the ASCII codes of the character string in the hexadecimal number system, as shown below. How many bits are required to store the character string?",Number System,MC
480,Mary uses a text editor to enter the following 5 traditional Chinese characters and saves them in a text file. The file text is 10 bytes. Which of the following statements about the text file is/are correct?,Number System,MC
481,"Which of the following character sets can be used to represent simplified Chinese characters, traditional Chinese characters and English characters?",Number System,MC
482,The ASCII codes for the characters 'X' and 'z' in hexadecimal are (ANS) and 5A respectively.,Number System,MC
483,"Mary wants to convert an audio file, abc.wav, to mp3 format. What should she do?",Multimedia Elements,MC
484,"A colour photo is scanned using a scanner with 24-bit colours instead of 8-bit colours. This means that, in the chosen scanner, (1) the resolution is higher. (2) the file size is larger. (3) more different colours can be scanned.",Multimedia Elements,MC
485,Peter configures the colour quality of a display unit. Which of the following pixels are involved?,Multimedia Elements,MC
486,Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's website. Which of the following image file types are suitable for her to use?,Multimedia Elements,MC
487,"Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's website. Before uploading a photo, what should Carol do?",Multimedia Elements,MC
488,Peter changes the format of his audio files from wav to mp3. What is his main reason for doing this?,Multimedia Elements,MC
489,Peter plans to upload a music on his school website which has limited storage space. Which of the following file formats is appropriate?,Multimedia Elements,MC
490,Amy plans to upload her photos to cloud storage. What is the benefit of using JPG format instead of BMP format in this case?,Multimedia Elements,MC
491,"The file sizes of the following original files are all 10 MB. After converting them, which converted file has the smallest file size, under normal circumstances?",Multimedia Elements,MC
492,Eva uses WAV format instead of MP3 format when recording music performance. What is/are the benefit(s) of this?,Multimedia Elements,MC
493,Amy uses JPG format instead of BMP format when scanning photos. What is/are the possible reason(s) for this?,Multimedia Elements,MC
494,"When a digital photo is printed on a photo paper, the top and bottom parts of the photo paper are unused. What is/are the possible reason(s) for this?",Multimedia Elements,MC
495,Which of the following is not a multimedia file format?,Multimedia Elements,MC
496,Which of the following actions involve converting data between digital and analog forms?,Multimedia Elements,MC
497,Which of the following actions involve the conversion of analog to digital data?,Multimedia Elements,MC
498,"After editing a document file, Jenny sends it to Peter for further editing. They use different word processors. In order to keep the document format the same, which of the following file formats should Jenny use?",Word Presentation,MC
499,"When editing a document, which of the following word processing features can enhance its readability?",Word Presentation,MC
500,"When editing page numbers and hyperlinks in a document, which of the following statements is correct?",Word Presentation,MC
501,"Ms Wong works in a publishing company and has to create three documents. (1) payment receipt, (2) electronic book, (3) template of a sales report. For which documents should she adopt the PDF format instead of the DOC format?",Word Presentation,MC
502,Which of the following items can be included in a portable document format (PDF) file?,Word Presentation,MC
503,Which of the following statements about mail merge is correct?,Word Presentation,MC
504,Eva creates a report with 200 pages. Which of the following word processing operations can reduce the number of pages used?,Word Presentation,MC
505,"Tim uses the 'table of contents' feature in word processing software, as shown below. When new chapter, (ANS).",Word Presentation,MC
506,"Some sales records are stored in spreadsheet software, as shown below. A pivot table is generated based on the sales records, as shown below. What are the settings of the fields?",Spreadsheet,MC
507,"The following two worksheets, WA1 and WA2, in a spreadsheet file are used to store the test results of Secondary 1 students in a school. In order to find the average scores of Amy and Zoey on WA2, a VLOOKUP formula is entered into B2 and then copied into B3. What is the cell range used in the formula?",Spreadsheet,MC
508,"Consider the spreadsheet below. What is the output value of the following formula? =SUMIF (A2:A7, ""X"", B2: B7)",Spreadsheet,MC
509,"For a chain convenience store, in which of the following examples should 'what-if' scenarios in spreadsheets be used?",Spreadsheet,MC
510,Peter creates Chart 1 in a spreadsheet file. He wants to modify Chart 1 so that it becomes Chart 2. Which chart setting should he change?,Spreadsheet,MC
511,"Eva uses a spreadsheet to store hundreds of records of online meetings, as follows. She wants to create a pivot table to find the number of meetings that each participant has attended. In which of the following areas should 'Participant' be put?",Spreadsheet,MC
512,Which of the following are common ways of showing record information in a database report?,Database,MC
513,"Peter and Mary share a database file X and execute database queries, T1 and T2, respectively. Which of the following activities should the database management system not do?",Database,MC
514,Assume that every household has a residential telephone number. In which of the following database applications could the residential telephone number be used as a key field?,Database,MC
515,Tom wants to store some weather information obtained from the Hong Kong Observatory. A sample of the weather information is shown below. Which of the following sets of data types is most appropriate?,Database,MC
516,Which operations are performed by the following SQL command? SELECT * FROM EXAM WHERE CIASS=' 1A' ORDER BY SCORE DESC,Database,MC
517,"A company uses a smart card system to record the attendance records of its employees. When an employee enters the company's office, he puts his smart card on a card reader and a new record is generated and stored in a database table. Which of the following fields are essential in a new record?",Database,MC
518,"The table MACHINE has four records, as shown below. What is the output of the following SQL command? SELECT CODE FROM MACHINE WHERE CLASS <> 'VI' AND PT < 80",Database,MC
519,"In a spreadsheet, 5-digit membership numbers for a sports club, 00001, 00002,., 99999, are entered in some cells. Which of the following cell formats should be used?",Database,MC
520,"John writes a program to process student information, including student name, average mark and number of subjects taken. Which data types should John use for storing the corresponding student information?",Database,MC
521,"Answer Questions 6 and 7 with reference to the following database table STUDENT. STUDENT is exported into a spreadsheet. What spreadsheet feature produces a similar output to executing the following SQL command in a DBMS tool? SELECT CLASS, COUNT (*) FROM STUDENT GROUP BY CLASS",Database,MC
522,Ms Li plans to design and produce student result slips using student information and examination marks stored in a database. What should she do?,Database,MC
523,What is/are the major advantage(s) of using a form for data entry in database software?,Database,MC
